Date,Open,High,Low,Close,Volume,Adj Close
9/1/1995,40,44.25,36,37.88,20572800,2.28
8/1/1995,37.38,40.63,36.88,40,6919700,2.4
7/3/1995,35.75,42.25,34.88,37.38,15033400,2.25
6/1/1995,29.06,37.25,27.75,35.63,15453900,2.14
5/1/1995,23.62,31.5,23.5,29.06,13664800,1.75
4/3/1995,24,26.12,23.25,23.5,10367600,1.41
3/1/1995,24,25.69,22.25,24,10372800,1.44
2/1/1995,23.87,26.5,22.5,23.87,6907200,1.43
1/3/1995,27.25,27.37,23.5,24,6622700,1.44
12/1/1994,26.75,28,24.37,27.5,5566000,1.65
11/1/1994,26.75,29.25,25.75,26.81,8206800,1.61
10/3/1994,23,28,21.5,27.12,6454000,1.63
9/1/1994,28,29.75,22.25,23.06,11091500,1.39
8/1/1994,29.25,29.75,26.5,28.25,5178000,1.7
7/1/1994,25.25,30.75,23.5,29,8931200,1.74
6/1/1994,28.5,32.5,24.75,25.25,7657300,1.52
5/2/1994,29.5,30.25,24.5,28.5,6466400,1.71
4/4/1994,23.5,30.75,22.75,29.75,10566900,1.79
3/1/1994,22.75,25.5,21,24.37,7264300,1.46
2/1/1994,24,25,21.5,23.25,4507500,1.4
1/3/1994,22,24.5,19,24,9316100,1.44
12/1/1993,22.75,24.75,20.75,22.25,4066100,1.34
11/1/1993,26.25,27.25,20.5,22.25,4887300,1.34
10/1/1993,27.5,28,25.25,26.75,4568100,1.61
9/1/1993,48.25,54,26.75,27.37,7761800,1.65
8/2/1993,48.25,50,43.75,48.5,6962600,1.46
7/1/1993,48.75,54,47.5,47.5,7049900,1.43
6/1/1993,48,49.75,44.5,49,4878800,1.47
5/3/1993,39.5,48.75,39,48,8201600,1.44
4/1/1993,38,40.25,34.25,38.75,4457200,1.16
3/26/1993,39.75,39.75,36.75,38,4098400,1.14
